[2025-08-23 21:52:56.970] [info]  DiscordSplash.signalReady
[2025-08-23 21:52:56.978] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-23 21:52:56.978] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-08-23 21:52:56.979] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-23 21:52:56.979] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-08-23 21:52:56.980] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-23 21:52:56.980] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-08-23 21:52:56.981] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-23 21:52:56.981] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-08-23 21:52:56.982] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-23 21:52:56.983] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-08-23 21:52:56.990] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-23 21:52:56.990] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-08-23 21:52:56.990] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-23 21:52:56.990] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-08-23 21:52:57.933] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-23 21:52:57.933] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-08-23 21:52:57.969] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-23 21:52:58.969] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-23 21:52:59.074] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-23 21:52:59.074] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-08-23 21:52:59.105] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-23 21:52:59.105] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-08-23 21:52:59.111] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
